as_of,n,ic,decile_spread,source,horizon,n_unscoreable
2024-01-19,494,0.11814984356254014,0.0002090118220220514,walkforward,5,0
2024-01-26,494,-0.22055831076862356,-0.026187953648773972,walkforward,5,0
2024-02-02,494,0.1335156493953331,0.029204455771956093,walkforward,5,0
2024-02-09,494,-0.06771598023702168,-0.009350199827387285,walkforward,5,0
2024-02-16,494,0.17195152450837303,0.018159697227739257,walkforward,5,0
2024-02-23,494,0.17763243126753323,0.02255096161146892,walkforward,5,0
2024-03-01,494,-0.13667542719096498,-0.001971736234592931,walkforward,5,0
2024-03-08,494,0.05564229727782626,0.0035996127073220983,walkforward,5,0
2024-03-15,494,0.10996791543391307,0.007555500400525451,walkforward,5,0
2024-03-22,494,-0.1253675117452207,-0.007978704904017036,walkforward,5,0
2024-03-28,494,0.11086059949089735,0.01011981052071465,walkforward,5,0
2024-04-05,494,-0.010152240556852493,0.0015731622310601254,walkforward,5,0
2024-04-12,493,-0.09305201226372334,-0.012826667899305134,walkforward,5,0
2024-04-19,494,0.16651041626098512,0.02661830273839703,walkforward,5,0
2024-04-26,494,-0.03333216372609989,-0.0033695034047414437,walkforward,5,0
2024-05-03,495,0.0712831134554594,0.006203832078857215,walkforward,5,0
2024-05-10,495,-0.08738448874272305,0.0014549257725230986,walkforward,5,0
2024-05-17,495,0.1939129772321623,0.012913824922539861,walkforward,5,0
2024-05-24,495,-0.025230874730165585,-0.0011820772459464552,walkforward,5,0
2024-05-31,495,-0.02345338588971866,-0.009833102059986595,walkforward,5,0
2024-06-07,495,0.0418678096097451,0.011106782543637991,walkforward,5,0
2024-06-14,495,0.16961183690136575,0.019142977308122287,walkforward,5,0
2024-06-21,495,0.06685999343045183,0.008685365809184638,walkforward,5,0
2024-06-28,495,0.14725721364091482,0.0029503079128552967,walkforward,5,0
2024-07-05,495,0.13880851745877212,0.01793967314489794,walkforward,5,0
2024-07-12,495,-0.1482182079380721,-0.032392769319522015,walkforward,5,0
2024-07-19,495,-0.19835355646051742,-0.020350311259562083,walkforward,5,0
2024-07-26,495,-0.2831896314718369,-0.044590748862179765,walkforward,5,0
2024-08-02,495,0.3913168377973041,0.0519909945520836,walkforward,5,0
2024-08-09,495,0.2419470717004384,0.03103921201142587,walkforward,5,0
2024-08-16,496,0.1827977194249987,0.014039869801346437,walkforward,5,0
2024-08-23,496,-0.014847835792860782,-0.008953610132495892,walkforward,5,0
2024-08-30,496,-0.13135243523703313,-0.02180372036372213,walkforward,5,0
2024-09-06,496,0.24361103079867277,0.052065884878594454,walkforward,5,0
2024-09-13,496,0.20102717969596662,0.016902420429195503,walkforward,5,0
2024-09-20,496,-0.015425495298280398,-0.0021979496385016208,walkforward,5,0
2024-09-27,496,0.06386520491472786,0.015504414879091061,walkforward,5,0
2024-10-04,497,-0.15437895542708252,-0.009836265137686264,walkforward,5,0
2024-10-11,497,0.17324243198313555,0.023220841267992443,walkforward,5,0
2024-10-18,497,0.03341766494810292,0.007081486708440456,walkforward,5,0
2024-10-25,497,-0.06266573400762131,0.009240338535704377,walkforward,5,0
2024-11-01,497,0.018269938324075818,0.02222574612425133,walkforward,5,0
2024-11-08,497,-0.11575613807211714,-0.021282135807122515,walkforward,5,0
2024-11-15,497,0.1021362850181219,0.0026904466577165123,walkforward,5,0
2024-11-22,497,0.14971064240084894,0.015382277422361347,walkforward,5,0
2024-11-29,497,0.0649773120108455,0.0020599442852869817,walkforward,5,0
2024-12-06,497,0.0021031259971196698,0.00014724365121681834,walkforward,5,0
2024-12-13,497,-0.15221644675671595,-0.020426656318710643,walkforward,5,0
2024-12-20,497,0.0036283090902737244,-9.817659885467955e-05,walkforward,5,0
2024-12-27,497,0.16241952296757617,0.022552112739913914,walkforward,5,0
2025-01-03,497,0.1255972484733508,0.008160937791928984,walkforward,5,0
2025-01-10,497,0.1200751927030508,0.006136185331974915,walkforward,5,0
2025-01-17,497,-0.11801776457423124,-0.024435833877560684,walkforward,5,0
2025-01-24,497,-0.15822734698122667,-0.011528862689765532,walkforward,5,0
2025-01-31,497,-0.03306889529950789,-0.015594017935068696,walkforward,5,0
2025-02-07,497,-0.11980379751320791,-0.04113612159897404,walkforward,5,0
2025-02-14,497,-0.13531060048593152,-0.02459125425960058,walkforward,5,0
2025-02-21,497,0.03234164020266176,-0.0018860108749966398,walkforward,5,0
2025-02-28,497,-0.38040329032101666,-0.07578684585331255,walkforward,5,0
2025-03-07,497,0.11684522092073614,0.0050656648414022926,walkforward,5,0
2025-03-14,497,0.0974892299776115,0.008305424675812925,walkforward,5,0
2025-03-21,497,0.021998195938162986,0.00042047985304648466,walkforward,5,0
2025-03-28,499,-0.3057623754922466,-0.07018880699925487,walkforward,5,0
2025-04-04,499,0.13055875606634956,0.02939097811509268,walkforward,5,0
2025-04-11,499,0.1245676443143551,0.008428747423458484,walkforward,5,0
2025-04-17,499,-0.1619986035202599,-0.003359909842355069,walkforward,5,0
2025-04-25,499,0.013780235501852754,0.007844827444591043,walkforward,5,0
2025-05-02,499,-0.11221807470362409,-0.0061485825701609285,walkforward,5,0
2025-05-09,499,-0.20566530651664774,-0.030734560040809725,walkforward,5,0
2025-05-16,499,0.2814535094284955,0.024751017578299856,walkforward,5,0
2025-05-23,499,0.07433797715913755,0.007901998433245171,walkforward,5,0
2025-05-30,499,-0.1413258357999333,-0.01797476824152365,walkforward,5,0
2025-06-06,499,-0.08902112659053045,-0.013539975657504873,walkforward,5,0
2025-06-13,499,0.2732446097013304,0.02688110365699112,walkforward,5,0
2025-06-20,499,-0.03654991999782505,0.002742623049918569,walkforward,5,0
2025-06-27,499,-0.1862251732380423,-0.005608801558513588,walkforward,5,0
2025-07-03,499,-0.16649993963831275,-0.009855642568354691,walkforward,5,0
