ticker,prob_outperform,rank_pct
EXPD,0.543427857204409,0.884
HAL,0.5433101083954471,0.882
DELL,0.5432925381806106,0.88
PWR,0.5432062970479433,0.878
DD,0.5431367068050719,0.876
COHR,0.5427678342133793,0.874
FTNT,0.5425600168511416,0.872
KEY,0.542486698333371,0.87
NEE,0.5421416737266562,0.868
IEX,0.5417988295912096,0.866
BEN,0.5416239657469579,0.864
DVA,0.5412752138948598,0.862
ETR,0.5411617546066332,0.86
FRT,0.5409931467604457,0.858
ABBV,0.540606505553559,0.856
ADI,0.5405771067347812,0.854
USB,0.5405450954159708,0.852
TEL,0.540295423216656,0.85
EVRG,0.5399161617744676,0.848
VRT,0.5399129219987059,0.846
BIIB,0.5389220711277232,0.844
CFG,0.5388260701923271,0.842
MSI,0.5387721855956104,0.84
MRVL,0.5385855499391868,0.838
CNC,0.5385071439017394,0.836
CMI,0.5383814777543323,0.834
FDX,0.5383655813038333,0.832
SPG,0.5373525455292983,0.83
DGX,0.5373476525556394,0.828
WMT,0.5373411091851248,0.826
NI,0.5369853321231881,0.824
TER,0.5363481249294053,0.822
JCI,0.5362250995745831,0.82
LUV,0.5360266969473756,0.818
NDSN,0.5360150141146536,0.816
MPC,0.5359110101536733,0.814
WEC,0.5359003465188751,0.812
FAST,0.535698867486464,0.81
LLY,0.535334796704647,0.808
RF,0.535110625372037,0.806
FCX,0.5347997159563611,0.804
AME,0.534779296459077,0.802
XEL,0.5340869666028158,0.8
NTAP,0.5338917136086592,0.798
SNA,0.5337108160291062,0.796
MPWR,0.5331720090282033,0.794
NEM,0.5330195302772293,0.792
DE,0.5322325347427689,0.79
EME,0.5322191925468326,0.788
F,0.532104250234128,0.786
GWW,0.5315374052205478,0.784
KIM,0.5314989284423077,0.782
WDC,0.5314386397117424,0.78
JBL,0.5312360553586397,0.778
PH,0.5309463034527151,0.776
WSM,0.530516381221788,0.774
VRTX,0.5301672073748258,0.772
APH,0.5300908867108762,0.77
DOV,0.5299778670111549,0.768
ROK,0.5299346223037339,0.766
LRCX,0.5298771408967483,0.764
BG,0.5298449991159878,0.762
GLW,0.5298406016247362,0.76
