date,month,cat,q,side,mkt,cost,pmod,stake,won,pnl,clv,end
2026-01-29,2026-01,other,Will FC Barcelona win on 2026-02-03?,YES,0.805,0.813,0.836,95.31,1,21.92,0.027,2026-02-03T20:00:00Z
2026-01-29,2026-01,other,Will Drake Maye win the Super Bowl LX MVP?,NO,0.735,0.747,0.764,52.6,1,17.81,-0.007,2026-02-08T23:55:00Z
2026-01-29,2026-01,other,Will Paris Saint-Germain FC win on 2026-02-08?,YES,0.69,0.702,0.715,34.98,1,14.85,-0.017,2026-02-08T19:45:00Z
2026-01-29,2026-01,other,Will Jaxon Smith-Njigba win the Super Bowl LX MVP?,NO,0.87,0.878,0.899,95.85,1,13.32,-0.028,2026-02-08T23:55:00Z
2026-01-29,2026-01,other,Will the Los Angeles Rams win Super Bowl 2026?,NO,0.833,0.841,0.864,95.99,1,18.15,-0.008,2026-02-08T12:00:00Z
2026-01-29,2026-01,other,Will FC Internazionale Milano win on 2026-02-08?,YES,0.71,0.722,0.737,42.83,1,16.49,-0.047,2026-02-08T17:00:00Z
2026-01-29,2026-01,other,Will the San Francisco 49ers win Super Bowl 2026?,NO,0.945,0.95,0.963,96.33,1,5.12,-0.005,2026-02-08T12:00:00Z
2026-01-29,2026-01,politics,Will the Liberal Democratic Party win the most seats in the 2026 Japan,YES,0.962,0.967,0.985,192.77,1,6.58,0.0285,2026-02-08T00:00:00Z
2026-01-29,2026-01,politics,Will People’s Party (PPLE) win the most seats in the 2026 Thai legisla,YES,0.61,0.622,0.641,82.56,0,-82.56,0.083,2026-02-08T00:00:00Z
2026-01-29,2026-01,other,Will the Buffalo Bills win Super Bowl 2026?,NO,0.845,0.853,0.875,95.63,1,16.48,-0.008,2026-02-08T12:00:00Z
2026-01-29,2026-01,politics,Will Pheu Thai Party (PT) win the most seats in the 2026 Thai legislat,NO,0.961,0.966,0.985,191.58,1,6.74,0.0175,2026-02-08T00:00:00Z
2026-01-29,2026-01,other,Will Seguro win all of Portugal's districts?,YES,0.775,0.787,0.806,70.11,1,18.98,0.058,2026-02-08T00:00:00Z
2026-01-29,2026-01,other,Will António José Seguro win the second round by 40–50%?,NO,0.8,0.808,0.831,96.05,1,22.82,-0.033,2026-02-08T00:00:00Z
2026-01-29,2026-01,other,Will the Seattle Seahawks win Super Bowl 2026?,YES,0.683,0.696,0.708,32.77,1,14.35,-0.014,2026-02-08T12:00:00Z
2026-01-29,2026-01,other,Will António José Seguro win the second round by 10–20%?,NO,0.93,0.935,0.951,96.42,1,6.7,0.044,2026-02-08T00:00:00Z
2026-01-29,2026-01,politics,Will Bhumjaithai Party (BJT) win the most seats in the 2026 Thai legis,NO,0.645,0.657,0.685,130.69,0,-130.69,0.068,2026-02-08T00:00:00Z
2026-01-29,2026-01,other,Will FC Bayern München win on 2026-02-08?,YES,0.755,0.767,0.785,60.83,1,18.48,-0.002,2026-02-08T16:30:00Z
2026-01-29,2026-01,other,Will the Baltimore Ravens win Super Bowl 2026?,NO,0.957,0.962,0.972,95.36,1,3.82,-0.005,2026-02-08T12:00:00Z
2026-01-29,2026-01,other,Will António José Seguro win the second round by 20–30%?,NO,0.795,0.807,0.826,78.91,1,18.87,0.008,2026-02-08T00:00:00Z
2026-01-29,2026-01,other,Will the Philadelphia Eagles win Super Bowl 2026?,NO,0.895,0.903,0.922,95.59,1,10.27,-0.008,2026-02-08T12:00:00Z
2026-01-29,2026-01,other,Will Real Madrid CF win on 2026-02-08?,YES,0.665,0.677,0.688,25.95,1,12.38,-0.042,2026-02-08T20:00:00Z
2026-01-29,2026-01,other,Will Bologna FC 1909 win on 2026-02-03?,NO,0.74,0.752,0.769,54.84,1,18.09,-0.012,2026-02-03T19:45:00Z
2026-01-30,2026-01,other,Will Travis Scott perform during the Super Bowl LX halftime show?,NO,0.879,0.887,0.907,96.0,1,12.29,-0.075,2026-02-09T00:00:00Z
2026-01-30,2026-01,other,Will Atalanta BC win on 2026-02-09?,YES,0.715,0.727,0.742,44.78,1,16.82,-0.002,2026-02-09T17:30:00Z
2026-01-30,2026-01,other,Will AS Roma win on 2026-02-09?,YES,0.68,0.692,0.704,31.49,1,14.02,-0.047,2026-02-09T19:45:00Z
2026-01-31,2026-01,other,Will Chelsea FC win on 2026-02-10?,YES,0.675,0.687,0.699,29.72,0,-29.72,-0.062,2026-02-10T19:30:00Z
2026-01-31,2026-01,other,Will West Ham United FC win on 2026-02-10?,NO,0.78,0.792,0.811,72.58,1,19.06,-0.017,2026-02-10T20:15:00Z
2026-01-31,2026-01,other,Will Manchester United FC win on 2026-02-10?,YES,0.67,0.682,0.693,27.89,0,-27.89,-0.127,2026-02-10T20:15:00Z
2026-02-02,2026-02,politics,Will Bangladesh Jamaat-e-Islami win the most seats in the Bangladesh p,NO,0.875,0.883,0.926,192.09,1,25.45,-0.003,2026-02-12T00:00:00Z
2026-02-02,2026-02,politics,Will Bangladesh Nationalist Party win the most seats in the Bangladesh,YES,0.88,0.888,0.93,192.6,1,24.29,0.002,2026-02-12T00:00:00Z
2026-02-03,2026-02,politics,"Will Trump say ""Transgender"" this week? (February 8)",YES,0.73,0.742,0.785,193.08,1,67.14,-0.047,2026-02-08T00:00:00Z
2026-02-03,2026-02,politics,Will Bhumjaithai Party (BJT) win the most seats in the 2026 Thai legis,NO,0.675,0.687,0.721,176.75,0,-176.75,0.038,2026-02-08T00:00:00Z
2026-02-03,2026-02,politics,Will People’s Party (PPLE) win the most seats in the 2026 Thai legisla,YES,0.625,0.637,0.66,101.56,0,-101.56,0.068,2026-02-08T00:00:00Z
2026-02-03,2026-02,politics,Will Pheu Thai Party (PT) win the most seats in the 2026 Thai legislat,NO,0.957,0.962,0.982,188.86,1,7.56,0.022,2026-02-08T00:00:00Z
2026-02-03,2026-02,geo,Will BV Borussia 09 Dortmund win on 2026-02-13?,YES,0.645,0.657,0.672,68.19,1,35.6,-0.017,2026-02-13T19:30:00Z
2026-02-07,2026-02,politics,Will Bangladesh Jamaat-e-Islami win the most seats in the Bangladesh p,NO,0.86,0.868,0.914,189.72,1,28.85,0.012,2026-02-12T00:00:00Z
2026-02-07,2026-02,politics,Will Bangladesh Nationalist Party win the most seats in the Bangladesh,YES,0.86,0.868,0.914,190.3,1,28.94,0.022,2026-02-12T00:00:00Z
2026-02-08,2026-02,geo,Will BV Borussia 09 Dortmund win on 2026-02-13?,YES,0.65,0.662,0.678,73.5,1,37.53,-0.022,2026-02-13T19:30:00Z
2026-02-08,2026-02,geo,Will the Bank of Russia make no change to the key rate after the Febru,YES,0.73,0.742,0.767,49.94,0,-49.94,-0.012,2026-02-13T00:00:00Z
2026-02-08,2026-02,geo,Will Kevin Warsh be formally nominated to be Chair of the Federal Rese,NO,0.745,0.757,0.784,173.64,1,55.74,0.123,2026-02-18T00:00:00Z
2026-02-08,2026-02,geo,Will Matthew Stafford win the 2025–26 NFL MVP award?,YES,0.914,0.919,0.945,191.74,1,16.79,-0.005,2026-02-18T00:00:00Z
2026-02-08,2026-02,geo,Will Drake Maye win the 2025–26 NFL MVP award?,NO,0.912,0.917,0.943,192.08,1,17.27,-0.005,2026-02-18T00:00:00Z
2026-02-08,2026-02,geo,"US x Iran meeting by February 13, 2026?",NO,0.715,0.727,0.751,140.75,0,-140.75,-0.012,2026-02-13T00:00:00Z
2026-02-13,2026-02,geo,Will the Bank of Israel decrease the Bank of Israel Interest Rate afte,NO,0.915,0.92,0.945,48.86,1,4.25,-0.325,2026-02-23T00:00:00Z
2026-02-13,2026-02,geo,Will Matthew Stafford win the 2025–26 NFL MVP award?,YES,0.914,0.919,0.945,189.7,1,16.61,-0.005,2026-02-18T00:00:00Z
2026-02-13,2026-02,geo,Will Kevin Warsh be formally nominated to be Chair of the Federal Rese,NO,0.875,0.883,0.912,190.03,1,25.18,-0.003,2026-02-18T00:00:00Z
2026-02-13,2026-02,geo,Will Drake Maye win the 2025–26 NFL MVP award?,NO,0.912,0.917,0.943,190.53,1,17.13,-0.005,2026-02-18T00:00:00Z
2026-02-15,2026-02,tech_econ,Judy Shelton Fed Chair Nomination Odds >5% by Feb 20?,NO,0.964,0.969,0.978,190.87,1,6.11,0.005,2026-02-20T00:00:00Z
2026-02-15,2026-02,geo,Will BV Borussia 09 Dortmund win on 2026-02-25?,YES,0.605,0.617,0.625,34.01,0,-34.01,-0.322,2026-02-25T17:45:00Z
2026-02-16,2026-02,politics,Will Hannah Spencer win the Gorton and Denton by-election?,YES,0.69,0.702,0.739,190.32,1,80.79,0.023,2026-02-26T00:00:00Z
2026-02-16,2026-02,geo,Will BV Borussia 09 Dortmund win on 2026-02-21?,NO,0.665,0.677,0.695,88.28,1,42.12,0.008,2026-02-21T17:30:00Z
2026-02-18,2026-02,geo,Iran strike on US military by February 28?,NO,0.885,0.893,0.92,143.91,0,-143.91,0.037,2026-02-28T00:00:00Z
2026-02-18,2026-02,politics,Will Trump admin release any more Epstein related files by January 24?,NO,0.785,0.797,0.843,189.9,1,48.37,-0.012,2026-02-28T00:00:00Z
2026-02-18,2026-02,tech_econ,Will xAI have the best AI model at the end of February 2026?,NO,0.964,0.969,0.978,190.86,1,6.11,0.0275,2026-02-28T00:00:00Z
2026-02-18,2026-02,tech_econ,Will Anthropic have the best AI model at the end of February 2026?,YES,0.672,0.684,0.696,57.07,1,26.31,0.255,2026-02-28T00:00:00Z
2026-02-18,2026-02,tech_econ,Will Google have the best AI model at the end of February 2026?,NO,0.725,0.737,0.753,97.24,1,34.7,0.227,2026-02-28T00:00:00Z
2026-02-20,2026-02,geo,Will BV Borussia 09 Dortmund win on 2026-02-25?,NO,0.685,0.697,0.718,69.92,1,30.39,0.008,2026-02-25T17:45:00Z
2026-02-21,2026-02,tech_econ,Will Japan’s January 2026 unemployment rate be 2.4%?,NO,0.904,0.909,0.929,192.81,1,19.3,0.043,2026-03-03T00:00:00Z
2026-02-21,2026-02,politics,Will James Talarico and Ken Paxton be the candidates for the Texas Sen,YES,0.61,0.622,0.641,82.69,1,50.25,-0.087,2026-03-03T00:00:00Z
2026-02-21,2026-02,politics,Will Jasmine Crockett be the Democratic nominee for Senate in Texas?,NO,0.695,0.707,0.745,194.2,1,80.48,-0.057,2026-03-03T00:00:00Z
2026-02-21,2026-02,politics,Will James Talarico be the Democratic nominee for Senate in Texas?,YES,0.695,0.707,0.745,195.81,1,81.15,-0.057,2026-03-03T00:00:00Z
2026-02-21,2026-02,politics,Will Hannah Spencer win the Gorton and Denton by-election?,YES,0.645,0.657,0.685,133.72,1,69.81,0.068,2026-02-26T00:00:00Z
2026-02-21,2026-02,politics,Will James Talarico and John Cornyn be the candidates for the Texas Se,NO,0.805,0.813,0.863,198.83,1,45.73,0.092,2026-03-03T00:00:00Z
